photo_id,business_id,caption,label
PwGJ7jxy5-dGsshTAA3DAw,33hkc8JVOoHD_lRqj7TWXg,,food
ZFnOsg5eUciav5ltpxbxPA,XuQ5ekbJ9eRUX06JTqJHaQ,Look at the size of this sandwich !,food
GgskzfilusU5OPNqzMkbFQ,J_RXc0Rg6JawwhbqYg_Kdw,,food
651bNRdUW2f5_zv_3sJ-VQ,fmFiSeSGjaA8KI-xHB5Xxg,,food
AUR-2hGF1r-KGeX3ZW-svg,CM87PKPRy7h9KIYmFRr9uw,9 of 10 dishes for Chinese wedding... Missed jellyfish and pork taking a photo of,food
YHHTbX9K0rhqojqkl5gvkg,7bJGh3PkW9tr3rXC6P2uwA,,food
oG0ECMHx6OYjIE9JyLDjYA,xZKhj_0PWf9F0ubRyFG5og,,inside
9Wkj-Vl5EYLS6OIy4EYigw,mF8czpMukj36ovHb3lGSeg,,food
GZpflvLA8AvQ6zi8aerdHg,t6g6Lj8WzjIXXucCl9jdTQ,Front seating area,inside
EeFlax7UCEI8Xrf3k27EQA,V9XlikTxq0My4gE8LULsjw,,food
Z0fXmxtTQ9PT2JFx8nnUOQ,jt1TfLJQN20aoVskD_8DuQ,Store Front,outside
-tAK3epfBmmcMWIqYgT0IQ,cEgsHkAnpYQbA60pIIZYKQ,Listing of some popsicles,inside
rCHcbJ2NcwvsHzH1CFzyEw,u3aN2A8Lo9odMCYjaphjLA,Pork Shank,food
vQ4f78kbIvE52xZBMKi65w,vUrTGX_7HxqeoQ_6QCVz6g,,inside
6KSLM-fapsQjVouRqOXPYA,LImOqXSWUq-E_eNZhTUzmQ,,food
hKx0grJ77BUGqYzQ02VlrA,jNxvJeAUzzpC7zW3UN78HA,Tomato Pie,food
a6dI4KTrWTnRZiglh62gKA,c4T4fWfNdnlyOgBN0a5JFA,Holey Donuts,food
m28V3Pvk1YW-bDkj6O6kkQ,VaO-VW3e1kARkU9bP1E7Fw,Oyster station,inside
OPCnM6rMMis1XxF8lARJ2w,EBonJ5tjkxBEUezwosVlLg,,inside
eA9mbEtb6K4i9PmWND_-QA,oUgmm76-UCd5N0z4xwDOYw,Grbic Cevapi,food
pRnGI7xv7ZBJ8p_w0xy9fg,90pJu2O7fIEm_N31Fyue7A,,drink
If0N0bRhcOMXq1Qu2rEIAw,-dwqsjGDBnzzv2qQYyIC3g,,food
SZ3NDrbN8IyamXlSQkV35g,Z4qfMpj8jymG3_XjTBKN0A,,food
_0fOPZ2fUvQsva85t4aIMw,PhhCTXGAyW-0PGmcQZjOoQ,,outside
hHIhrGGv6eBW1CyfuXq6_Q,qEcgemvSCGUFRKPS3lt3pw,Baklava,food
4IiMykKoTykwt-5oc61Cyg,Rx5lfHMWkezmQjCfr2ziAw,"5.99 for the 8"" grilled pork banh mi. Yum.",food
mcCF9PrtKKf0N38RiQrZQQ,KH9ghKDytIlUwlkEioqreg,Calamari,food
kuu99WGEDswcF9W5wBCfjg,SkEr3iGr9x5aw7Dh5bOtxg,,inside
kCxfhuZTQNRTM_cGhvdrWg,fivoAD6x6jXJRiEZwhpcEQ,P,inside
0QCXNIv4fdSWj2VJVvUW1A,TMuqeJ5fHFn9gNkplDnMqw,Lavender Honey on top and Apricot on the bottom.,food
v5ayAqMTrggvotQ73-KNYQ,vtUoFOyhekVSVp5Y-I8ULw,,food
9sv62mi7ITXOUOilf59WVg,J0joPXxmN-_9Lzafspqdbw,,food
-EtyrrhwjLlMSIUmuJXrGw,KSaKp-tEI2b3kv4bYHVWYA,,food
uEFykMLeKCjz4y5sLBoG9w,jxEMFqwDJXjCxmcm5t5jVQ,Waffle fries with mozzarella and bacon.,food
LHq6ysYTQzhZl11mxZtLmA,mK4gpsdN7qqb2MMUYbQb7A,South Beach Quesadilla,food
1q1aIcuJMdeTt8QEyXFIeQ,WrZaL6BxHqVqt3sAcJ-5Rg,Hopped Gin and Tonic,drink
tJ9JpJRo0wohUmPmxO4e1w,HTgKfmmlzgE43trhntv8-w,,food
7mUuT4j9k6ENN45XO_yccQ,eSHOzoSapng1c7BN3CBn9A,,food
cyzJVw9Xx5akGxmCqHlecw,Pb5agnsD9EdCl6yuZp2jJA,O Sole Mio,drink
12gYQM13ZscrRn_ibEknPw,3Wy21heeDm8h2tSZfcj6OA,Luncheon at lure,food
rfrFsu-NvTiuB72EAO1NUQ,VgAKmXE8B7J0I_O_R13UKQ,,inside
G2s78tk9KHf2RLgq5_8fQg,34UYYxLV_lAxHYNnV3GXAg,At the bar,inside
2Q4saf93GeypoRTpqVMQkA,pKAWS_PiZub_PpFot6VrVw,Inside restaurant.,inside
OPk3DV5RN-1Gxy6okCQBbg,yChy5PZZOAPf4WhUUpaZ1g,Take a little break for a little gambling while you're shopping.,inside
Xjjcn2FKMkDyQ1C5viORag,KSYONgGtrK0nKXfroB-bwg,,food
MYvSRu9DF1_tJWMD2oRl9g,cEb1xzZzp6b4TM-MrqxktQ,Moonshine infused.,inside
qy7QjHQZcEhR-kLlUg82iQ,2E5fh57OvOQMWwxxEOkN8A,,inside
yymIYHYGJo7O2ddBc6POzw,nIAbuktMEzVjT4P9pG89rQ,Cashew Chicken -$25,food
XBaJwVJVEt5D3Q6uGWEMAQ,XKevywsd9Br4YDcd7IC2-w,"Alfano's Restaurant, Clearwater, FL - October 29, 2018",inside
xjBDw2tPc5czev9p79YS7w,3fVYGQr_ldW2_1QlXJjpaQ,"Pain Perdu | Spiced Roasted Apples, Maple Crema, Bacon-Sugar Cane Syrup",food
MvEbnnY7f8YbYhg6CrhYYw,YhpUIN4ByTEMdFbWJvIB9A,Me and the boys at bavaros,inside
n_v0R1v6d-mcU1BQY52svw,pzfHUtL1Z6e17IlTtuBMUw,The best Brussels I've ever had,food
bHaMwNnEV90ZybXCQxSFow,fxV5Iv7goPEUz-AReRLxkw,Bar area,inside
PJ38A9seHdxDit5bUImQgQ,LwX2vbzttWYAdoBoVtfvRg,,inside
6_2OwTE_2ezVgC4iBswzWQ,nihvarTktbLi1CI_Dkep4Q,,drink
wr6NEpr45lVb9qFKg69VSA,mxZNnWOXTK2YLE_gDPeAQQ,,inside
jRCPOPPwMCurD7RcfkYZ2g,H1ZTsd_d-wvunsT3ZmoBvg,,food
0LIq2KfeBD5kIejiPSydtQ,l68dMciq9BdVBrCG1GWoDA,,drink
BFEa3O7Y8fjwf3qUvjT4Cg,z_MefzpYwQkxXorCdQTUjw,,food
GFmkCThOCIwEvhGszF-ctw,E9-k8aOCS2sSh9RYxvWU_A,,outside
ewvxIzW-RRLjvHGj36O98g,9Uczm0SLoHhopacyKf3-1g,Crispy Thai Shrimp,food
ya7TOYAuJNEwv1n5_qfyBA,_UOg5_pk9IhKee91eWrT4A,"Pulled pork/pulled chicken, baked Mac & Cheese, Beans, cheesy spinach, rolls, and a sweet tea",food
8w8GwxhyKu9DEFuGYeDQNA,gTKoJH4BWX67pVu-bRdsmw,Kobe Breeze and Kobe Trio,food
QHkcpEUO72VYMJ8P5449GA,inpHHalmEPkTMBg9yOWfLg,,outside
km4Gkd__6rR2MfouBhPDGg,Q6BQcgabriKd5wPxvzOIWg,,food
0b8cQREY2-Pwr8gVVRUiJQ,5cq04psKFTIHJIRajhh_nw,Order online and pickup your favorites with Olive Garden To Go.,food
ohHyTI81NGTpIHCBWDpFTA,ft6I8fOrKQtVdM_trVXk8A,,inside
YSeRU97PdrSZPYI_NMAnCA,YHrP-o3aTo1JJXGsQovU0A,"Doughnuts, too.",food
0mFo_YEGc_9b2YruhQ7Ucg,punjQyM6mXEIfvWyYVBa2Q,,inside
zF-zRNa1fTsdobvjFckzOw,yTeH-Xqp2qob651GU6aE7Q,Stuff Pizza Slice,food
rU04nXxljNXGquvdCd9Gtw,HqgMCVe-jvlP0kT93M_5Sg,Seafood platter and 1lb of crawfish,food
jmhQ-MNlLKh1u1xoZD_M5A,4n22rhH6sdrAWHm54datEA,Cashew nut chicken side of white rice and jasmine tea,food
KJ5onXgXPn55XLlIQ7s6Yg,S1FwTmCAwv5ulu5gToWi_w,,drink
wLPLqPrdPuwiJ1F1VcLMQg,2gpurfo0rwpkW0Xp7TGjgg,,inside
Ws7l1vvwfVOUiMy2dZP-ow,YCHBSWYErsKAI9AXeoPxhQ,Courtyard area,outside
ZBzCS8DIv_DZVCRDyeDScA,fgTOJRkc703E4XRdcr5zRA,Our signature Pearl Milk Tea!,drink
pVAEW_x4AUtByc9OhctqeA,HTgKfmmlzgE43trhntv8-w,,food
kicGDA4SrS1ea-v_G4hCVw,OYCMbxOnPRTfyDKIhnIV2A,,food
VSAx-DAAtIuWTAbldMQH_w,KTsB7DO-kXVcy23Ds7_PFA,,food
bQlVkbUjKESqVfr6ZXSRcQ,8ObCdQQ3mHwDsSsk75Z2lA,,inside
YuPz0aBcMD9_eOeFyr_fUg,b3tI8ODMieXSflFHLFA92A,Champagne Slamgria,drink
pl9rU8KDhjZ2i2-hCAniIg,1klQuTKmJr-eMQPuFaQ5fg,Sitting area,inside
iOq-6YyXKX50zpYaj8BO4Q,GW-H37yWCNhgWPg9RwKbVA,Chicken biryani,food
wbf2CGKMy-QQ8_ZHLCQivQ,tf2nzjkP8XGIeU-lg767XA,,inside
W2g2-CzaNBH5WehtZ3MBJA,uJZgom8HpK74xz8IojpT0A,Green pizza,food
LplMlDOwOKVhB2X2dLlE_Q,NfUKLEcnR5c0cLnztw19IA,The raw seafood bar with the wine cellar in the background,inside
8W68Sgq_FHBYtwwEa3IyWg,HE-9l_2RSingLV2RZItdsA,Donuts with Sprinkles,food
qF-srWPJ5Usr4IGEK9DO1A,if57kE6_VfR1nI1X93oHEA,Panne Chicken Linguine,food
M3EWmdsWiYbOdGjsRFT5wQ,5OK71bsZ3UndLeTXUE5mKw,Cartelized shrimps and white bean.,food
wVzVgLhcwpw4tXXTbW1TvA,tkehxQ-wmJk7xZ_op1r1nQ,"Dim Sum options (shrimp and pork shumai, hai cao, bean curd, banh uot, pork spare ribs)",food
q9fvkj7rIOvLVcX29AxIEw,DVBJRvnCpkqaYl6nHroaMg,,inside
S_fJx41-FJpgTKxaoCtKTg,WwVYDgzRO1KiAu-GRksQ5g,Calm Waters Coffee Mug,drink
25m55qEsgX1oPy0kIcdBeg,1_YCzfB3Eh1sMN0Nx4idvg,,food
n1YipiSexgt5b02xHT3yTQ,6ajnOk0GcY9xbb5Ocaw8Gw,Swordfish Entree,food
vCGCrBw0J-JLjbmHAabF7w,pFQSo_TvT8-RDTHc_-PhlQ,Matcha Red Bean with Fresh Milk,drink
FtQ8QTZgNxxHSCzGZL5auQ,33l2XVp01d8kltTs_UMJ8A,Fried Chicken Salad Sandwich with Billy Goat Chips,food
GIaPsY05ewLMkwmCXOewpg,GST3wg-wej15vHeCvaXE6w,,inside
rRQ1hXqnTVDHZx5LtJVPYw,lNXAV6t34fqAdGa3MrDxkg,during 2011 Jazz Fest,inside
JL3of1M-c1UIR0lr9LQfEw,CkYoNqqNAfRxatyylgN15A,Beautiful!,inside
ZqXfKLxc3CZIKfXNtRgE4A,VGYWVWwuuNRzI2UcSNIw2g,,food
hZ6MdUvGAiCI-7eGr03GaQ,5Mxa0q08Kn6ZVbmbsLcZDw,,food
GbUXngdD6_4h9AhfRjsvSA,8KBDQlSdjJ-NoLbpPvkOrw,the place settings,inside
aNDhILOJSWTjLz1jzEsCQQ,COZbEsySsjS1d3mJ6cXeTA,Dutch Apple  pie .. yum,food
UKiGzYYPICi8BIOD2cVvnA,gLaxSkjWzt25hybkaKwQcA,Dining area,inside
iO4Rb8Mmg48zi5-253o5QQ,8KBDQlSdjJ-NoLbpPvkOrw,the interior,inside
gzXxP_T4JUZE2zMzaoUJYA,_LgI5387qAmMuS8i6h69cg,,food
Cx4jnvG70I-C6ghcdfssfQ,Yyn4z5ZysBDYCXfTFzflaQ,,inside
K3f1dZcgviFUeb-veJMbHw,PJjkH_VZeQwxEJvlQ-v7wA,Done!,food
A0sKEQkqI5fTuGDyXpO7Iw,JEhPHeoLQhkOIWMZn6k8bw,,inside
U4FHzIRWPhgaHd5Tv9znyA,DRMEopD9Td8OoDk-JWm1Rw,,food
j-6SmIi7vij3NXXb5E3g8A,9PZxjhTIU7OgPIzuGi89Ew,,food
FMivDc9bpWEKpYNaXSQEZQ,w4nHq_elJwPpI4iZ6ro3JQ,,inside
k1Bv2jVTuMZ0ZIJi6pVHSQ,8-0EBUcwlrRMWhSNdT-5FQ,,food
G0TRpOPpO8pWlhul4ZycJw,MGblXmy5R7c8UI-bCoGwWA,Oreo Dessert,food
NuLoAlxvsskjkrieQ_MhpQ,ChlcxTEoWBQJXJ2Xb2vm5g,These two guys were the best and they made our dinner experience so much more fun! We truly had a fantastic dinner!!,outside
70p_Guw_qwiE7U2XeakDQQ,p_qSQwShIgQnNxGcajI4-w,Walking in...,inside
LQ-i428Tq64h3L1jc2OoDg,ku8cAVBLaF_4rI-yK6gNnQ,,inside
nkY1w_ZCIDbEXYfTAvPguQ,iMWGmFrMVEEktWNriZ2cTQ,WOW!,food
VkTTzs53d2UnSrMi-1g_Uw,-tDmeO1Q5aqThVY3AFJJ7A,"Oceano, Spider Roll and Baked Alaska.",food
FGeQf8E6YGHDml-IPXuDFg,6_T2xzR74JqGCTPefAD8Tw,,drink
aYDKlhGeKpyLIoMnMmMh7Q,-9NmUeTphyS9Lq1o9MACGw,Garth and Trisha!!,inside
wj1s0PLJAQthM5hnPBTwdA,3Vrad15d3I7m5-0uvGJgUw,,drink
hWBxGYH2Zd5gDA3OKSy5MA,qb28j-FNX1_6xm7u372TZA,,food
8gmbWaVZGS55cbNAGEx83Q,m6gILkoSovYr4yqFzTnROA,Missing Parts,outside
HxLqTk4EqUcPYpqnChmVGw,J-Go00lYW4f4a3lLLtoh_A,2 Eggs and Polish Sausage,food
XVbkePMrGmzsUEE83vPq2A,O9XjwWdbgOe5CnBuPpnpBg,,food
GIKvu7PdfL2vgCNeMTaj_Q,KbKuKzmbdzdfrRwgAE6EGw,,drink
h78KNkUSalTgw-0hRMrYKg,bn2jWrB_aXdQP4YoyUVVIQ,Buldak,food
aC0EVb1J-7CSnOkmv3b0yA,yeHLiKNp0hyR-ig4M6us-w,,food
zUezJVS6q5jXIOH3odh9tw,UnMFhoSEJtPBxARhJiKYKw,,outside
l7wPAVzGKjEjaBczV4rzUw,IzyQVIJG8JAnOiRQPb0-wg,Carciofi e Spinaci Slice,food
JLFPXKdVx_BpR8tr2Utr7Q,kJmAc845uKH8Z6e1KFZXtA,Charcoal vanilla ice cream,food
fBgg-cMpGr3-YKtM46bikQ,ImO3aF_axcKe5pwFf-jQeQ,Emmy Squared Gulch Nashville - The Emmy,food
3LE7AMx5f8GfbqkztYYPOQ,xZileQFJ7h-0QKjtGc9xgg,Strawberries Arnaud,food
n6kh5P_64BsKSC-04OhKbQ,cg4JFJcCxRTTMmcg9O9KtA,,inside
ca97VV0Z3KqN9NqIzu-TgA,EQ-TZ2eeD_E0BHuvoaeG5Q,We had a 30 minute wait on a Saturday morning,outside
dJITqI4aV4zJZH2cXlmrmA,aAXCHFWlmppo9HAxcK2NYQ,,food
gdbkj2k7jczeLdYwdVBvCA,bp-YfsJnbSje3ayCZLGaUA,St. Elmo cola with its own spirit.,drink
j7xliCUi7Bn__GFVYK3Www,x1ukXOcMHlzKmTmfNIjyLA,"Inside shot from Asiatic Asian Thai noodle bar, ybor city, tampa",inside
z9b2uLbAHw09wP3tk9-XIw,IRyKDIF51M0GcqS8yfPcYA,Chicken fettuccine,food
BQeOWpldlOM-BbTatUmE9g,jQPg8OKiSVa-fwvd-XGzLQ,,food
CDmbMgQvAuyXcR3xiLCjoA,ALjOBKvlyT-lcLFihD4P8g,,food
JqrG3QUjzU-2KtYwz5QMPw,pm8H4MRrEsp2K_3ln2pvqQ,Filet with Baked Potato,food
nMnR1cuWDzVPwgThfcNGgQ,JJRRJEmis9QlmGnE5WZk8A,Crispy Laad Naarh. The crispy noodles quickly became soggy in the thick gravy. Other items on the menu are much better.,food
py0xx9WGjjt33A2YGjQSgQ,FBqYnP7H3TMHYQvafuBTSA,,food
Dyc1kpdiZ0Bt37J-GEbBVg,EUQsxU3wTBFRenWyD6JX4A,Brickstone and our own Star Beertender hosted a beer tasting  night with Indian Lake Peninsula Development,inside
UuMaux9qnWzBSSEQkPQO_g,5uHqdix18wYakIps4lM6Ow,,inside
tK_QGxUSi6XtmkUFApbKLA,radib3GHt_Up9-zhUjM1ew,,food
vWy9flMfWbtvGyVUGicoog,HdYyrc45219Hg1YneqOyvg,,food
Y-ANCED9a6-lY9cT0ybMjw,AGlh4ZDv6jnoiYfz7At9mw,Shanghai crabmeat and port soup dumplings,food
Q7GlqT-QK2vKzrCTlg-P_w,Y2Pfil51rNvTd_lFHwzb_g,Nice outdoor seating(with a guard cat),food
fy3r_nkwnLXO0i8GNHAduA,dsfRniRgfbDjC8os848B6A,,inside
1yX_E6J_5L-fsApQcbAyLw,dfqIU-iEqKh1Id8p3gDO5g,Meat pie & 2 white chicken pieces (meat pie is a must),food
R-lgqQ7fMUaLvFQndFe5uQ,p_qSQwShIgQnNxGcajI4-w,Inside,inside
Qrp-0fK-la9IpCJg9RMMQA,-PTWFicakClBDK-zyQ5hjA,,inside
MNDrWoaao9YNz_Erat9zPw,6jr6xW05PcKutwr5lbVVAg,Chipotle Cheddar Macaroni & Cheese,food
12cpHeL-eCDu9VVu0T6Ghw,CflykRQLCJNUW3tVWmRjoA,,food
1YSG7Vzq23mBulMlVfRAew,8UNGDhJUMRrPhzKq59bxwA,YUMMY! Scarfed down the Boswell @ Southern Brewery on Nebraska Ave. in Tampa!,food
wy-E07ETBh_NXA373LLwiw,iNEePY05pBQjXUfdO4ykig,Ultimate Poke Sushi Thai Tea,food
hPwrUdwTWwdr98ik6ChmfA,Kg71HUigI1rnY3UMFiLx0w,Cultural,food
vkfcGdEpc_dOdJhuLU5UiQ,SIc1YcqUBMdXO3LxgCur2g,,inside
ZOMbwo3gmhvUyQR2R4GiYw,4LG0U_Gxc45-FanbjwoBvw,Hard cider. I don't do beer.,drink
4A2AznlmbTuEs3sE9fzVwQ,LfbkgbvGdZ7Lm7w6v3oTnQ,Table area,inside
ItCnim2wIw_DKzIW2jUAkA,LM54ufrINJWoTN5imV8Etw,The owner cooking up a storm,inside
YfupMs0sBkhCfRyr-i6aUw,IS0B5nLJPluVT8NwGgospA,"Homemade Chicken Pot Pie: Scratch-made cream sauce, vegetables, chicken, light flaky crust. Served with a house salad.",food
iQXz2NYuejtwRSvkv3bLVw,XeLAOIv2Ky1wyzIjoTa3Mg,Pour over of Ecuador by Switchback,drink
2wv6qJAGfEVQeKA0D-qs2w,VSpseb6oijtKffRRL_xfgQ,,inside
tOQS7viG9BBII4PD3psx1w,5Fs604P6wfdVNy9jt8kc5Q,"Turkey Hoagie, so good.",food
rCE0BY_FFFblXBcq87Vg1Q,wCxiDaOI0LVWdqUEWoPv_A,,food
AONqSMYzVBaInJcbBgPb5A,XI99CG-lx3OH7oVeRTejvg,Delicious eggplant,food
zgMELAPWiyNVUDUCTKoVUA,PQuM6c6pdEOLyInZdzoa_g,,food
BPQO19mccgVAo2YXoUd-Hg,t3PkHzVTvPA8qRxKe9TIkQ,One side of our dining room.,inside
-wnFiNLFbcr3Fwar77qjcA,K_JuuazFvgiXkTFg61DfdA,,food
evZ2q3swWhAUJoPe8-SSUw,pSmOH4a3HNNpYM82J5ycLA,Banana bread pancakes!,food
an6CmXpHX-cXWSoZlByjzw,mRpk0A4u0hnF0lNe1h4hGg,,food
KjticsrHJSK2wTKJ02hDlg,8QJTzIaR5FceGds8HBSIig,,outside
LgRZ8aLeK3CLsMEimDTFWw,Nit7oji_POMoRxZ3q2ichg,Exterior of the brewery,outside
i2JQR4mWQDINwA9EcybArQ,ELY0HI8GDEx0jkmREVna0A,,food
FZZXHmADsGVlqqZpFQdorQ,gmYNsG1R5u3e3FueeowAEg,,food
1vziAR17tDIERh-8Tjzapg,oJxsRgj8Un9VAPXpaDuufA,Basil Hayden's Neat *Bourbon Bash Event*,drink
Dv6e3tLMzmf4wdTizQafHg,KDzLMPTTLihnpcctZLmg0g,cocktail,drink
-s4J07Y3dqlRBK_q2bo7nw,h4CPgWdrG9ejSgaAOOCEaw,,inside
uTY3XDLFphI8yqwEIrjRuw,0TwZfZHis6e4o6sBogUJVQ,Plenty of donuts to choose from,inside
MJ6igBJYUpLjHBnUGM5vyQ,Cbktlvci_z4HwdqPUW-5cg,,food
9_nCwibCNRC2NyLkD768bg,9qXZSFq9vPdX4F6kGjXC-g,,food
a3kTCmu3ItEe8TA-FivQrw,9haFlHQRUwpYzdktVq60EQ,,inside
PBwC1lSV_1X4IfXqycIh3w,F4gvookXrKsBNCvK_xEt1g,Only the ladies dance,inside
AK3l6CJ0qQsXYPliP0wQhg,HHBbetQ-XRQYJprT5Qp9jw,,inside
7aIkflWPD9HzbYrojeIyBg,-tDmeO1Q5aqThVY3AFJJ7A,Neat decor,inside
-7MeYZ6C6sB3DRii_kF1kA,muxda1cSVtplETqTfYVgZA,Outdoor seating,outside
3iApJrDwqjOnGry5vNxx4w,Zx05t1cRAipPrpQOtzd9RQ,Lemon custard,food
F3qTMMM-72lkSuaUKzDeUA,3cyjdxvskRcADylzLI32cQ,First Watch Chickichanga,food
qya0LOImfH33QRpS-8ACLw,vNrFILL7SNflYMw9DSXCeg,Taquitos Estilo Guerrero,food
0YIINMovk1MutRrToIr9hA,2P-pvj_jo0SxNe6jih6sOA,,food
CYu2pHxjuYyN2n9vJQn3eg,Trbe4JX-oLHrrVVPcv0wog,Jazz Brunch on a beautiful Sunday afternoon. Celebrating our anniversary with good friends.,inside
jLWj48yy79IWZ-4G-nOLmA,TdrNka-oPWf4B-jN9rKltw,View from Bok Bar,outside
W2VHx1Hw0AtOnM6VTuTVew,Zx05t1cRAipPrpQOtzd9RQ,Love this place!,outside
Kvz-jVXg5evIhkGkdKmONA,jmwasbZfgj3honf79qKsnA,Outside Sign,outside
zqZhvr6wPwTS-PjqGzIQPA,dPc04D8Wsq9XP5pjfWuJww,,food
Hgfe3ZffF9aKQKRrn5P-ug,6CAP_o0s_Wfd8vQNWGf4OQ,Interior,inside
9u_K6Do4sHmCS2EhYP1epA,hyqQrok-ZwXUASBVLGWBuQ,Miso,drink
5lfR2Yl9uH8dyGi14JlUvA,HJ_rOClY2RPrdervYopKmQ,Avocado chocolate mousse,drink
9-ppL45x7UK1k570ykANeA,-WfGgYMcJKttsCu7WDrBrg,,food
x4Uiwq1E5r8181hE9wNMZQ,OI2J5UsaCSD1xFnY0psJ2w,Strawberry Perfection. The incendiary-er the better.,drink
ewekPwmqJcs5QWi15NdTWg,N7oIpLGsyG14FxZQhR4LQw,,food
Fdz340COOMveZehmB9lQkg,lU3elCfnhoOAhkR6FewPSA,,inside
RVO0WlblczSSUOIeWp2BGg,DhBe7gF3li2eCYRjwi2_Hw,,food
LfoxBZGsKIsnM50rgANWKg,VQlum4cEfkbbmd6RFgjtrA,,food
0rgs8BljCQXPXQKkeD1d9g,hExi86DTBlmIhB2FLvqrHg,,food
aXpMND_PVrGb2KPk6UciXw,OLSFUxfRCjLNPi49yOOrsQ,,inside
oiRKh47PEjQkcddUxeItOQ,449No3H5g8AsuGssvy36eQ,,inside
loYuP0gM-Q7PKcnGWgcxXA,7McQCpcpjyAA_TaQPlsirg,,food
lt4IA371WsmjFxPdTqTEGA,kZ1q0K13tFYG_ZJrVvsJHA,,inside
PctIC-OMXA7zxad6dId28w,JHRlwxxKY0JJcU97rJ-Bug,,food
eNlLx7-cVm5GhPyLripQAw,BHnCAV4_hgqgNZGdfXNJkA,Dinner #2. Get the crawfish. And the pork hocks. And the crab. And the corn.,food
mFxnzzLRDPghXNYMnw7IAA,NGR_aVWJ-W_KHvBDrmFP1A,Breads,inside
JH33JjpWiMx3XGDxnluIUQ,4nt8j6hmwVfMnmcVARbUIg,,drink
o3-KMxuyRi_1W011kMwb7Q,nGOYzNwIjWBufuaW4kEvUw,Inside their beautiful rows of vines & grapes.,food
BBVNFr_JISZeO9o6t3RDXQ,IIC_gGdLTSCbRMtKzg1-ZQ,,food
